sep=;
Line #;Reward Date;Investment Amount;Current Month Reward Amount;Total Reward Amount To Date;Staking Reward Rate
1;2025-04-23;25.000000;0.054795;0.054795;10.00%
2;2025-05-23;25.054795;0.205930;0.260724;10.00%
3;2025-06-23;25.260724;0.214543;0.475267;10.00%
4;2025-07-23;25.475267;0.209386;0.684653;10.00%
5;2025-08-23;25.684653;0.218144;0.902797;10.00%
6;2025-09-23;25.902797;0.219996;1.122793;10.00%
7;2025-10-23;26.122793;0.214708;1.337501;10.00%
8;2025-11-23;26.337501;0.223688;1.561189;10.00%
9;2025-12-23;26.561189;0.218311;1.779501;10.00%
10;2026-01-23;26.779501;0.227442;2.006943;10.00%
11;2026-02-23;27.006943;0.229374;2.236317;10.00%
12;2026-03-23;27.236317;0.208936;2.445253;10.00%
13;2026-04-23;27.445253;0.233097;2.678350;10.00%
14;2026-05-23;27.678350;0.227493;2.905843;10.00%
15;2026-06-23;27.905843;0.237009;3.142852;10.00%
16;2026-07-23;28.142852;0.231311;3.374163;10.00%
17;2026-08-23;28.374163;0.240986;3.615149;10.00%
18;2026-09-23;28.615149;0.243033;3.858182;10.00%
19;2026-10-23;28.858182;0.237191;4.095372;10.00%
20;2026-11-23;29.095372;0.247111;4.342483;10.00%
21;2026-12-23;29.342483;0.241171;4.583655;10.00%
22;2027-01-23;29.583655;0.251258;4.834913;10.00%
23;2027-02-23;29.834913;0.253392;5.088305;10.00%
24;2027-03-23;30.088305;0.230814;5.319120;10.00%
25;2027-04-15;30.319120;0.182745;5.501865;10.00%
